chr_id	gene_id	treatment	control
1	AT1G01010	7.23213687	3.219579036
1	AT1G01030	2.28215522	4.442414681
1	AT1G01060	8.647838462	0.110720982
1	AT1G01250	1.550636312	5.501784612
1	AT1G01260	1.613262879	1.767157151
1	AT1G01350	18.02817881	12.26594269
1	AT1G01380	0.66622959	1.082264453
1	AT1G01520	15.64764926	0.419367459
1	AT1G01530	0.169266187	0
1	AT1G01720	27.32569694	24.21396451
1	AT1G02030	0.099619876	0.062751268
1	AT1G02220	23.21446432	4.161787217
1	AT1G02230	3.657197286	0.87403755
1	AT1G02250	0.04399509	0.011335299
1	AT1G02340	0.891603682	0.804670897
1	AT1G03040	21.04036149	14.25893037
1	AT1G03490	0.017757777	0
1	AT1G03790	0.031361322	0
1	AT1G03800	0.168627044	0.131501382
1	AT1G03840	0.236228723	0.221075309
1	AT1G03970	15.53039864	24.36283383
1	AT1G04370	0.040904942	0
1	AT1G04445	0.063367193	0
1	AT1G04990	10.69786734	26.08367765
1	AT1G05230	1.972899919	1.767087025
1	AT1G05710	4.419326934	1.396661424
1	AT1G05805	28.10921433	44.5845387
1	AT1G06040	179.8109547	88.18167491
1	AT1G06070	11.52062048	7.394469532
1	AT1G06160	24.64334172	0.535036552
1	AT1G06170	0.049280038	0.051323152
1	AT1G06180	10.12092435	1.56080457
1	AT1G06850	1.509139936	3.358332798
1	AT1G06910	5.350452305	4.129529137
1	AT1G07520	3.924416113	7.702609453
1	AT1G07530	23.99239277	15.8439085
1	AT1G07540	0	0.006520941
1	AT1G07640	19.81940749	14.45332931
1	AT1G07900	3.443421289	1.529980756
1	AT1G07980	16.95291462	12.37738767
1	AT1G08000	2.357210583	2.424312108
1	AT1G08010	4.624334014	4.326864055
1	AT1G08290	1.181501865	1.104972389
1	AT1G08320	0.015338651	0.013281256
1	AT1G08465	4.131671357	9.835169393
1	AT1G08810	4.511561218	6.512581856
1	AT1G08970	8.940866397	7.283355215
1	AT1G09530	6.532175291	3.693114858
1	AT1G09540	0.062069354	0.1273674
1	AT1G09710	2.576531332	2.236044407
1	AT1G09770	37.18915471	32.20345504
1	AT1G10120	5.406811719	7.110805861
1	AT1G10170	16.27594356	13.09156304
1	AT1G10240	4.908477604	4.19825667
1	AT1G10320	9.283177987	7.394193799
1	AT1G10585	25.34208537	1.401740984
1	AT1G10586	0.085700517	0
1	AT1G10610	10.70178602	7.906733606
1	AT1G12260	0.339514414	0.542900891
1	AT1G12540	0.082218933	0
1	AT1G12610	0.02797594	0.243361379
1	AT1G12630	0	0.022948879
1	AT1G12860	10.28277621	13.23583308
1	AT1G12890	0.466007772	0.813439949
1	AT1G12980	0	0.023593248
1	AT1G13260	50.83719856	121.3304174
1	AT1G13450	9.966810324	8.842374447
1	AT1G13600	0.043991449	0
1	AT1G13960	7.59443229	6.059849352
1	AT1G14350	1.498085941	3.307462387
1	AT1G14410	30.3980598	13.05210991
1	AT1G14440	1.452512503	1.757176257
1	AT1G14580	1.430970536	3.422190272
1	AT1G14600	9.868326774	4.915121498
1	AT1G14685	4.583941528	9.157045315
1	AT1G14687	2.31031714	2.462156789
1	AT1G14920	13.77692623	13.91489655
1	AT1G15720	1.11643382	0.761244822
1	AT1G15790	17.32138276	6.139214207
1	AT1G16060	5.152073496	6.474011018
1	AT1G16490	1.281391193	1.049269208
1	AT1G16530	0.789917892	0.441995694
1	AT1G16640	1.640419946	1.224029845
1	AT1G17040	2.663263326	1.627537609
